Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	T.gondii GT1 CRISPR Phenotype - Mean Phenotype	T.gondii GT1 CRISPR Phenotype - Liver Composite Score	T.gondii GT1 CRISPR Phenotype - Lung Composite Score	T.gondii GT1 CRISPR Phenotype - Peritoneum Composite Score	T.gondii GT1 CRISPR Phenotype - Spleen Comosite Score
TGGT1_210095	TGGT1_210095-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIb:1,629,844..1,631,103(-)"	hypothetical protein	0.91	0.33847478	0.024991841	0.003603478	-0.00030496
TGGT1_210210	TGGT1_210210-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,752,051..4,759,139(+)"	hypothetical protein	0.7	2.204979484	0.492996252	-0.069254444	0.357148931
TGGT1_210220	TGGT1_210220-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,747,948..4,748,199(-)"	hypothetical protein	-1.2	-0.000331735	-0.038746858	-0.333384333	-0.018687339
TGGT1_210230	TGGT1_210230-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,741,989..4,747,832(-)"	hypothetical protein	-3.37	0.977299976	0.29529227	0.737271508	0.201690501
TGGT1_210235	TGGT1_210235-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,736,074..4,741,166(+)"	hypothetical protein	-0.48	-0.105977432	-0.015779307	-0.373081862	-0.479372631
TGGT1_210245	TGGT1_210245-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,724,974..4,735,706(+)"	hypothetical protein	0.42	-1.346030532	-0.343584463	-1.306025941	-1.650756516
TGGT1_210255	TGGT1_210255-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,719,308..4,720,240(-)"	hypothetical protein	-2.27	-0.02001512	-0.088161829	-0.793394943	-0.527046101
TGGT1_210260	TGGT1_210260-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,709,227..4,716,911(-)"	NAD-dependent glycerol-3-phosphate dehydrogenase	-0.69	-3.04761759	-0.21505347	-0.189472971	-2.490938404
TGGT1_210270	TGGT1_210270-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,700,324..4,707,522(+)"	hypothetical protein	-3.53	-13.40133915	-15.76106401	-17.10108046	-8.083856874
TGGT1_210280	TGGT1_210280-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,693,013..4,696,614(-)"	PEK kinase	-4.97	0.04803805	0.414760352	-2.417718407	0.406957557
TGGT1_210300	TGGT1_210300-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,679,284..4,689,544(+)"	hypothetical protein	-0.82	0.073590991	-0.076637128	-0.231010619	-0.00000165
TGGT1_210310	TGGT1_210310-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,667,186..4,674,672(-)"	hypothetical protein	0.19	-0.519529204	-0.560854334	-0.289961121	-0.840943852
TGGT1_210320	TGGT1_210320-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,663,800..4,664,849(+)"	SAG-related sequence SRS37A	0.96	0.117476499	0.070923213	-0.019186659	-0.039898271
TGGT1_210330	TGGT1_210330-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,660,731..4,661,774(+)"	SAG-related sequence SRS37B	0.05	8.603280054	0.05613738	1.750012897	0.964861525
TGGT1_210345	TGGT1_210345-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,648,101..4,658,891(+)"	hypothetical protein	-1.79	-0.732734015	-1.728448415	1.142206974	-0.387502476
TGGT1_210360	TGGT1_210360-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,638,505..4,645,559(-)"	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41 family protein	-6.63	0.099182916	0.445301814	0.0000392	0.301974912
TGGT1_210370	TGGT1_210370-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,634,440..4,635,879(-)"	hypothetical protein	1.07	0.053608745	-0.096545625	-0.157039819	0.031868185
TGGT1_210380	TGGT1_210380-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,625,209..4,631,947(-)"	hypothetical protein	0.14	-0.057825399	0.402451313	0.559654465	-0.000286878
TGGT1_210390	TGGT1_210390-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,620,093..4,623,204(+)"	"WD domain, G-beta repeat-containing protein"	-1.56	29.22130411	27.64814925	43.76691651	17.27625969
TGGT1_210400	TGGT1_210400-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,612,574..4,616,638(-)"	hypothetical protein	-0.51	0.028025129	-0.0000202	-0.000636083	0.01564457
TGGT1_210408	TGGT1_210408-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,609,915..4,610,199(+)"	HMG (high mobility group) box domain-containing protein	-0.28	-1.580924677	-41.54721533	-163.773377	-50.96965862
TGGT1_210412	TGGT1_210412-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,606,809..4,608,130(+)"	hypothetical protein	0.93	3.678003999	-0.136495139	46.74366213	-0.196826313
TGGT1_210420	TGGT1_210420-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,603,704..4,604,732(+)"	hypothetical protein	0.3	-5.172799886	-0.090018514	-5.081780158	-3.805544022
TGGT1_210430	TGGT1_210430-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,589,516..4,598,135(-)"	DnaJ domain-containing protein	-3.81	-5.444674286	-30.86505132	-10.05013202	-35.86584678
TGGT1_210440	TGGT1_210440-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,581,255..4,587,074(+)"	polynucleotide adenylyltransferase	-3.52	-6.807553226	-13.8292093	0.046886945	-25.31069028
TGGT1_210450	TGGT1_210450-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,575,776..4,576,975(-)"	hypothetical protein	-0.15	0.633264581	0.551813263	0.076021146	0.423891515
TGGT1_210460	TGGT1_210460-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,568,628..4,571,269(-)"	hypothetical protein	0.29	9.839746925	0.866770723	1.355011039	3.122084419
TGGT1_210470	TGGT1_210470-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,561,781..4,567,234(-)"	hypothetical protein	0.17	-0.326003806	-0.288966029	-0.672416159	-0.887187983
TGGT1_210478	TGGT1_210478-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,546,365..4,560,509(-)"	hypothetical protein	-2.51	-0.176370161	-0.115856257	-0.399208014	-1.905591258
TGGT1_210482	TGGT1_210482-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,543,392..4,546,133(-)"	hypothetical protein	0.13	-0.018121144	-0.000461355	0.346627012	-0.258676865
TGGT1_210490	TGGT1_210490-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIX:4,537,947..4,541,577(-)"	hypothetical protein	-3.62	-3.220410154	-1.392038914	-0.167736966	-2.122209493
TGGT1_210682	TGGT1_210682-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:2,093,296..2,093,612(+)"	hypothetical protein	0.18	-0.000413427	0.265187479	0.035586001	-0.009283318
TGGT1_210690	TGGT1_210690-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:2,087,216..2,087,986(+)"	ribosomal protein RPS6	-4.58	-0.00172756	-1.142600245	-0.555697882	-1.237711335
TGGT1_210700	TGGT1_210700-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:2,051,389..2,084,250(+)"	hypothetical protein	-1.95	2.60525635	1.663577117	3.945570815	0.064631626
TGGT1_210715	TGGT1_210715-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:2,047,998..2,048,899(-)"	hypothetical protein	1.08	-0.030049843	0.0000846	-0.006025963	-0.668028261
TGGT1_210730	TGGT1_210730-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:2,033,378..2,047,586(-)"	putative ATP-dependent hsl protease ATP-binding subunit hslU	0.47	-0.424727664	-0.015853304	-0.284259279	-0.599711187
TGGT1_210740	TGGT1_210740-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:2,029,767..2,031,868(+)"	hypothetical protein	0.94	-1.823360672	-0.422413365	-0.266751913	-8.059897665
TGGT1_210750	TGGT1_210750-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:2,024,259..2,026,838(-)"	Ferredoxin-fold anticodon binding domain-containing protein	-4.38	-0.254890528	-0.270580083	-0.599355176	-0.427790482
TGGT1_210760	TGGT1_210760-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:2,019,383..2,021,410(+)"	putative glutamine amidotransferase	-1.47	-0.231625268	0.00301949	-0.000397062	-0.408851788
TGGT1_210770	TGGT1_210770-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:2,016,782..2,018,372(-)"	hypothetical protein	0.53	-0.781324589	-0.411026332	-0.149729308	-0.504209178
TGGT1_210778	TGGT1_210778-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:2,010,615..2,016,692(+)"	hemimethylated DNA binding domain-containing protein	-2.78	19.49618459	41.69567151	200.2408279	1.812053814
TGGT1_210781	TGGT1_210781-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,996,744..2,008,130(+)"	ubiquitin carboxyl-terminal hydrolase	-0.82	289.028244	67.31914489	110.9111707	185.0053803
TGGT1_210783	TGGT1_210783-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,993,837..1,995,170(-)"	hypothetical protein	0.47	-10.48895273	-8.061124468	-10.88511249	-18.38555521
TGGT1_210787	TGGT1_210787-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,991,623..1,992,523(+)"	Erv1 / Alr family protein	-1.99	10.09527595	-0.0000838	-0.069613369	0.272604704
TGGT1_210790	TGGT1_210790-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,980,005..1,990,187(-)"	putative dihydroorotate dehydrogenase reveal	-2.84	-3.718844445	-0.731864124	-5.76669217	-1.522311869
TGGT1_210800	TGGT1_210800-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,971,908..1,977,533(-)"	putative activator of hsp90 ATPase	-2.78	23.13955534	11.6859349	43.38627287	2.438814905
TGGT1_210810	TGGT1_210810-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,968,347..1,970,259(+)"	hypothetical protein	-0.73	0.202737248	-0.016897703	-0.264253547	0.013610337
TGGT1_210815	TGGT1_210815-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,966,403..1,967,934(-)"	hypothetical protein	1.55	6.833706382	0.836461475	1.156955287	7.175062266
TGGT1_210820	TGGT1_210820-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,959,315..1,963,312(-)"	hypothetical protein	-2.68	-7.736723391	-8.642425273	-11.68832426	-9.51402782
TGGT1_210830	TGGT1_210830-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,952,686..1,957,204(+)"	RIO1 family protein	-4.64	-1.35576168	-3.100388927	-4.938101049	-2.164911907
TGGT1_210840	TGGT1_210840-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,942,834..1,951,568(-)"	arginyl-tRNA synthetase family protein	-4.95	-0.057890797	0.035403468	-0.077492617	-1.320868775
TGGT1_210950	TGGT1_210950-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,937,054..1,940,517(-)"	oocyst wall protein	0.69	-0.918947085	0.066115525	-0.009503668	-0.154145277
TGGT1_210960	TGGT1_210960-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,930,784..1,936,096(+)"	putative replication factor C subunit 4	-4.12	1.524564327	2.797830476	0.849172061	1.819945911
TGGT1_210970	TGGT1_210970-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,928,047..1,928,646(+)"	hypothetical protein	0.66	0.040183862	0.136392776	-0.005400817	0.358751922
TGGT1_210975	TGGT1_210975-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,926,862..1,927,797(+)"	hypothetical protein	-2.53	-0.056433633	-2.178393702	0.216205201	-5.390977551
TGGT1_210980	TGGT1_210980-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,920,085..1,926,796(-)"	putative alternative splicing type 3 and	-5.1	0.047695321	-0.000758794	6.029080673	0.180353299
TGGT1_210990	TGGT1_210990-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,911,673..1,913,940(-)"	hypothetical protein	-0.58	0.009172428	-1.179476199	0.014687259	-0.380202445
TGGT1_211000	TGGT1_211000-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,909,548..1,911,158(-)"	hypothetical protein	-1.22	0.0000699	-0.526288347	0.023903384	0.002597439
TGGT1_211010	TGGT1_211010-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,902,587..1,908,004(+)"	hypothetical protein	-3.74	0.004172211	-0.704710862	-1.284839916	-1.27852736
TGGT1_211015	TGGT1_211015-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,899,562..1,900,357(-)"	hypothetical protein	-1.05	0.242822176	-0.669241182	-0.386558684	-0.021825429
TGGT1_211020	TGGT1_211020-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,894,489..1,899,543(-)"	RNA recognition motif-containing protein	-1.92	-17.21686314	-34.79192248	-0.123997819	-15.84635277
TGGT1_211030	TGGT1_211030-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,889,471..1,891,938(-)"	hypothetical protein	1.01	-1.070353059	0.042466845	-0.014383254	-1.346711457
TGGT1_211040	TGGT1_211040-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,885,778..1,887,505(+)"	Sec61beta family protein	-4.37	-13.89201105	-19.07214876	-4.238628449	-26.62188722
TGGT1_211050	TGGT1_211050-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,877,929..1,883,867(+)"	"ATPase, AAA family protein"	1.2	-0.003949389	-0.072123077	0.650868359	-0.182134215
TGGT1_211060	TGGT1_211060-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,873,858..1,874,178(+)"	hypothetical protein	-3.31	-18.37602172	-14.21976281	-12.01175203	-17.31080068
TGGT1_211070	TGGT1_211070-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,873,210..1,873,767(+)"	hypothetical protein	-2.04	0.069276658	0.316159518	0.000184717	0.167386711
TGGT1_211080	TGGT1_211080-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,872,521..1,872,979(+)"	hypothetical protein	1.63	-0.551439254	-0.80290035	-0.08695833	-0.652001389
TGGT1_211090	TGGT1_211090-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,866,785..1,871,989(-)"	"aminotransferase, class V superfamily protein"	-3.54	-16.51766368	-4.786363059	-3.4416749	-38.38586319
TGGT1_211150	TGGT1_211150-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,850,174..1,859,842(-)"	hypothetical protein	-4.66	0.642517879	-8.820252511	-18.19384486	-7.60958337
TGGT1_211220	TGGT1_211220-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,841,664..1,846,284(-)"	hypothetical protein	-4.66	-39.93624595	-19.71879199	-81.86040112	-24.41385791
TGGT1_211230	TGGT1_211230-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,833,496..1,838,383(-)"	"putative eukaryotic initiation factor-2B, alpha subunit"	-4.48	-2.632091265	-8.500791723	-0.006485727	-12.44024735
TGGT1_211240	TGGT1_211240-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,827,895..1,830,938(+)"	putative peptidyl-tRNA hydrolase	-1.76	-0.111385209	-0.696688076	0.063774967	-0.740071806
TGGT1_211250	TGGT1_211250-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,821,363..1,824,761(+)"	hypothetical protein	0.46	-5.798092735	-1.008751704	-2.104775557	-3.418550953
TGGT1_211260	TGGT1_211260-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,816,280..1,817,587(-)"	rhoptry kinase family protein ROP26 (incomplete catalytic triad)	0.68	-3.685116653	-2.803058691	-0.348828352	-1.617511389
TGGT1_211270	TGGT1_211270-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,791,063..1,808,221(-)"	sushi domain (scr repeat) domain-containing protein	-2.93	-0.293872428	-0.794948345	-0.307471939	-0.397303571
TGGT1_211280	TGGT1_211280-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,784,511..1,788,952(+)"	hypothetical protein	-0.09	6.154666598	4.084598076	0.604426443	5.170880339
TGGT1_211290	TGGT1_211290-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,780,392..1,782,862(-)"	rhoptry protein ROP15	0.16	-0.848783183	-0.005692362	-0.030306882	-0.334107679
TGGT1_211300	TGGT1_211300-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,777,178..1,778,772(+)"	putative DUF74 family protein	-0.5	-0.000627325	0.010298789	-0.152772182	-0.103550838
TGGT1_211310	TGGT1_211310-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,764,498..1,774,868(+)"	hypothetical protein	-0.69	-1.871244604	-1.287694673	-5.47510103	-3.567244843
TGGT1_211320	TGGT1_211320-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,760,895..1,762,141(-)"	hypothetical protein	1.21	-0.315233833	-0.067504678	-0.110531716	-0.832829212
TGGT1_211330	TGGT1_211330-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,754,908..1,759,199(+)"	methionine aminopeptidase	-2.88	-5.287082906	-5.767627983	0.489317021	-4.781906014
TGGT1_211340	TGGT1_211340-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,744,030..1,751,855(-)"	hypothetical protein	-0.42	1.018188591	0.009037265	0.227229303	0.473974597
TGGT1_211350	TGGT1_211350-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,730,896..1,741,521(+)"	CBS domain-containing protein	-2.4	1.134839744	4.266230044	-0.214046375	1.707839209
TGGT1_211360	TGGT1_211360-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,724,816..1,727,407(+)"	hypothetical protein	-0.12	-1.678530824	-1.499710868	0.003169209	-1.412906811
TGGT1_211370	TGGT1_211370-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,712,086..1,721,239(+)"	tetratricopeptide repeat-containing protein	-0.57	0.021434689	0.003634826	0.00160974	-0.024490941
TGGT1_211380	TGGT1_211380-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,708,176..1,711,570(+)"	hypothetical protein	-0.2	-1.405712364	-2.177368317	-0.269232781	-1.502520699
TGGT1_211385	TGGT1_211385-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,700,863..1,702,091(+)"	hypothetical protein	0.09	-1.993965838	-1.190537823	-1.248348602	-1.965806109
TGGT1_211390	TGGT1_211390-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,692,407..1,697,995(+)"	hypothetical protein	-3.04	0.75764192	0.537582012	0.241228293	1.204296565
TGGT1_211400	TGGT1_211400-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,678,689..1,690,435(-)"	DEAD/DEAH box helicase domain-containing protein	-5.04	-18.94557841	-9.926865797	0.012786556	-5.16326375
TGGT1_211410	TGGT1_211410-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,666,821..1,676,604(+)"	translation initiation factor sui1 protein	-1.81	0.679994271	0.993186062	0.649507151	-0.056111986
TGGT1_211420	TGGT1_211420-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,661,239..1,664,919(-)"	RNA recognition motif-containing protein	-5.22	-0.125973739	-1.431449717	0.464710894	0.131713538
TGGT1_211430	TGGT1_211430-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,655,289..1,659,855(+)"	leucine rich repeat-containing protein	-0.17	-0.100213665	-0.075714835	-0.086065327	-0.209933098
TGGT1_211440	TGGT1_211440-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,640,416..1,651,617(+)"	hypothetical protein	-5.67	-0.799409264	-1.917127651	0.098901414	-0.096357857
TGGT1_211450	TGGT1_211450-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,632,224..1,639,247(-)"	hypothetical protein	-4.38	-0.008275502	-6.36217058	4.183574772	-2.507910061
TGGT1_211460	TGGT1_211460-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,626,832..1,629,780(+)"	hypothetical protein	0.25	-0.024644738	-0.876315239	-4.138786901	-0.079099426
TGGT1_211470	TGGT1_211470-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,622,888..1,624,252(+)"	Fcf2 pre-rRNA processing protein	-5.11	-22.66368996	-15.28795027	-1.351927025	-13.51206182
TGGT1_211480	TGGT1_211480-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,609,736..1,621,756(-)"	putative GTP-binding protein engA	-3.46	-7.352459823	-11.72882693	-2.216562452	-15.55699269
TGGT1_211600	TGGT1_211600-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,599,766..1,607,388(+)"	hypothetical protein	-0.24	-0.964817186	-2.830839213	-1.455175357	-0.673607761
TGGT1_211610	TGGT1_211610-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,592,701..1,597,372(-)"	hypothetical protein	-0.59	2.087764455	0.091469465	0.789233372	0.576246545
TGGT1_211630	TGGT1_211630-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,587,042..1,589,369(+)"	hypothetical protein	1.07	-17.44849106	-19.65855899	-22.50069924	-21.25647383
TGGT1_211640	TGGT1_211640-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,574,581..1,584,544(-)"	hypothetical protein	-1.46	-0.664046635	-0.112573058	-0.024817894	-0.363028546
TGGT1_211650	TGGT1_211650-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,565,507..1,570,956(-)"	hypothetical protein	-0.87	-0.270819047	-0.779487392	-0.05837352	-0.467447121
TGGT1_211660	TGGT1_211660-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,564,297..1,565,238(-)"	hypothetical protein	-0.62	-0.453006626	-1.974884641	-0.152302611	-0.336938131
TGGT1_211670	TGGT1_211670-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,560,254..1,562,332(-)"	S1 RNA binding domain-containing protein	0.72	-0.076292763	-1.444084051	-0.301635811	-0.502453166
TGGT1_211675	TGGT1_211675-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,558,686..1,559,945(+)"	hypothetical protein	0.19	0.310670712	0.0063713	0.247824482	0.071674631
TGGT1_211680	TGGT1_211680-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,556,190..1,558,014(+)"	protein disulfide isomerase	-5.65	-0.038989367	-0.565171009	0.232217822	-0.136050429
TGGT1_211690	TGGT1_211690-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,531,700..1,551,811(-)"	AAA family protein	-5.05	-2.232076676	-4.398600673	-0.527691413	-0.520784274
TGGT1_211695	TGGT1_211695-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,527,841..1,529,396(+)"	hypothetical protein	-0.29	-1.647015167	-0.771803459	-1.080959474	-1.092594465
TGGT1_211700	TGGT1_211700-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,515,365..1,526,809(-)"	hypothetical protein	-5.23	-21.14226579	-4.532938604	-6.559954583	-3.963594459
TGGT1_211710	TGGT1_211710-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,512,749..1,513,255(+)"	"TB2/DP1, HVA22 family protein"	1.92	-3.456565302	-3.70944837	-24.62590296	-5.007370008
TGGT1_211720	TGGT1_211720-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,499,109..1,505,927(-)"	AP2 domain transcription factor AP2IV-5	-1.29	0.092171047	0.043212678	1.549074659	-0.019958881
TGGT1_211730	TGGT1_211730-t26_1	Toxoplasma gondii GT1	"TGGT1_chrIV:1,486,407..1,496,127(+)"	histone lysine methyltransferase SET8	-1.91	-0.504504105	-0.819144911	-0.042234547	-13.18813221
TGGT1_211850	TGGT1_211850-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:4,062,162..4,062,901(-)"	hypothetical protein	0.8	-250.6317082	-324.7745893	-168.1319264	-453.7853505
TGGT1_211860	TGGT1_211860-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:4,058,019..4,059,920(-)"	hypothetical protein	0.48	0.439251151	0.437223462	0.098847366	0.383003621
TGGT1_211870	TGGT1_211870-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:4,053,732..4,056,141(+)"	putative LSU ribosomal protein L18P	-4.57	0.00000238	-0.003646924	0.003025291	0.408822198
TGGT1_211880	TGGT1_211880-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:4,053,140..4,053,697(+)"	hypothetical protein	-1.65	-0.04021199	-4.311583339	-0.11351506	-3.553525775
TGGT1_211890	TGGT1_211890-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:4,032,173..4,051,281(-)"	RAP domain-containing protein	0.28	-0.178262476	0.007370563	-0.064213263	-0.196669184
TGGT1_211910	TGGT1_211910-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:4,018,404..4,024,241(-)"	putative kinesin-related protein 3A	1.4	-1.003991893	-5.521571756	0.000156336	-2.986504547
TGGT1_212030	TGGT1_212030-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:4,013,115..4,014,839(-)"	hypothetical protein	1.14	-0.03780814	-0.0048639	0.012524372	-0.642335375
TGGT1_212045	TGGT1_212045-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:3,994,639..3,997,213(-)"	hypothetical protein	-0.11	0.216947476	-0.084974995	-0.015509878	-0.058958926
TGGT1_212060	TGGT1_212060-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:3,992,092..3,993,599(-)"	hypothetical protein	0.76	0.012524561	-0.027267879	-5.96E-08	-0.098886811
TGGT1_212075	TGGT1_212075-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:3,986,464..3,989,565(-)"	hypothetical protein	0.57	-0.2134311	-0.270287092	-0.028034095	-0.338051729
TGGT1_212090	TGGT1_212090-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:3,976,691..3,978,589(-)"	hypothetical protein	-0.17	-1.329311019	-0.327903521	-0.01123556	-2.097532605
TGGT1_212100	TGGT1_212100-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:3,968,778..3,974,867(+)"	ThiF family protein	-3.04	-0.043495879	-6.402696743	0.053918656	-9.288723613
TGGT1_212110	TGGT1_212110-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:3,961,256..3,966,542(-)"	histone lysine demethylase JMJD5	-4.03	-257.7296885	-303.9770533	-358.5975177	-230.9408462
TGGT1_212130	TGGT1_212130-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:3,947,536..3,959,836(+)"	"phospholipase, patatin family protein"	-0.5	1.789770209	2.847399147	-3.303777622	0.22040585
TGGT1_212140	TGGT1_212140-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:3,929,525..3,939,662(+)"	hypothetical protein	-0.1	2.460559932	-0.083752402	0.335230276	0.07648508
TGGT1_212145	TGGT1_212145-t26_1	Toxoplasma gondii GT1	"TGGT1_chrX:3,925,246..3,926,867(-)"	hypothetical protein	-0.78	0.205908345	0.225418441	0.678886908	0.14748793
